metric_date,market_id,messages_processed,peak_latency_ms,uptime_pct,active_users,order_throughput
2026-06-22,M005,1048928,121,99.846,242,6699
2026-06-28,M005,1293754,64,99.714,170,1483
2026-01-05,M006,1928168,124,99.534,250,15585
2026-01-11,M006,696156,34,99.644,617,14100
2026-01-17,M006,976839,42,99.662,531,17243
2026-01-23,M006,1266197,56,99.876,116,23658
2026-01-29,M006,961718,19,99.722,310,5223
2026-02-04,M006,2030235,85,99.39,491,23068
2026-02-10,M006,1302937,60,99.956,196,2845
2026-02-16,M006,1552320,40,99.869,163,9622
2026-02-22,M006,1384314,75,99.373,485,8159
2026-02-28,M006,1031678,83,99.893,466,16934
2026-03-06,M006,1895884,133,99.991,199,10499
2026-03-12,M006,557640,40,99.44,387,23632
2026-03-18,M006,1554914,114,99.957,319,16096
2026-03-24,M006,2260359,88,99.959,383,19528
2026-03-30,M006,769030,55,99.746,331,6026
2026-04-05,M006,2125376,132,99.669,58,10502
2026-04-11,M006,1300779,114,99.706,387,25520
2026-04-17,M006,211985,97,99.788,96,24386
2026-04-23,M006,1486701,97,99.824,194,22933
2026-04-29,M006,967261,44,99.453,148,17989
2026-05-05,M006,284238,53,99.283,568,10322
2026-05-11,M006,1849040,116,99.438,119,8987
2026-05-17,M006,939132,33,99.377,128,21776
2026-05-23,M006,1610233,81,99.349,631,17852
2026-05-29,M006,1438735,76,99.265,478,6925
2026-06-04,M006,1666010,16,99.939,358,7927
2026-06-10,M006,1588939,52,99.608,482,7386
2026-06-16,M006,1954342,135,99.869,605,23498
2026-06-22,M006,217753,72,99.782,180,18180
2026-06-28,M006,2294808,81,99.736,107,8927
2026-01-05,M007,1355946,98,99.295,602,11866
2026-01-11,M007,1744779,117,99.532,495,8973
2026-01-17,M007,841301,116,99.835,590,22946
2026-01-23,M007,303721,34,99.61,98,2711
2026-01-29,M007,839351,102,99.397,86,11247
2026-02-04,M007,469326,55,99.25,59,3094
2026-02-10,M007,192145,16,99.332,171,5266
2026-02-16,M007,1533218,15,100.0,49,25627
2026-02-22,M007,2171811,26,99.296,566,13777
2026-02-28,M007,950097,120,99.586,347,12259
2026-03-06,M007,411210,142,99.815,208,18638
2026-03-12,M007,1097218,79,99.275,396,19123
2026-03-18,M007,881923,78,99.558,453,16753
2026-03-24,M007,1855769,78,99.366,599,2073
2026-03-30,M007,1839293,139,99.518,487,13731
2026-04-05,M007,1116974,141,99.291,458,25834
2026-04-11,M007,965500,66,99.622,375,3680
2026-04-17,M007,2320572,120,99.278,410,18492
2026-04-23,M007,1817493,92,99.99,163,19681
2026-04-29,M007,1919201,110,99.64,596,10702
2026-05-05,M007,978036,25,99.91,363,25653
2026-05-11,M007,1918841,86,99.516,620,10162
2026-05-17,M007,897828,132,99.473,354,14440
2026-05-23,M007,2219358,81,99.459,447,9902
2026-05-29,M007,1162377,50,99.474,265,14152
2026-06-04,M007,1695368,42,99.49,242,24096
2026-06-10,M007,1189199,86,99.942,223,20130
2026-06-16,M007,744071,75,99.465,495,8645
2026-06-22,M007,1017761,48,99.315,289,20926
2026-06-28,M007,1551616,27,99.843,450,24028
2026-01-05,M008,739242,74,99.575,339,9126
2026-01-11,M008,1033672,83,99.992,633,24192
2026-01-17,M008,579379,38,99.702,264,6707
2026-01-23,M008,914022,86,99.957,200,20831
2026-01-29,M008,1819309,58,99.535,247,21141
2026-02-04,M008,1901080,33,99.44,374,1963
2026-02-10,M008,2311558,36,99.376,59,6425
2026-02-16,M008,1016046,73,99.899,345,17819
2026-02-22,M008,711648,120,99.634,277,16870
2026-02-28,M008,2327781,58,99.516,388,20323
2026-03-06,M008,2053146,105,99.896,306,10771
2026-03-12,M008,2063173,91,99.495,134,9406
2026-03-18,M008,2252911,81,99.648,209,11120
2026-03-24,M008,191027,102,99.586,101,1541
2026-03-30,M008,2206849,137,99.456,575,14205
2026-04-05,M008,2021047,120,99.742,326,24883
2026-04-11,M008,326302,89,99.455,179,4164
2026-04-17,M008,404659,10,99.352,609,25208
2026-04-23,M008,1037382,39,99.311,445,16467
2026-04-29,M008,1222247,41,99.649,530,18350
2026-05-05,M008,980563,133,99.612,251,10069
2026-05-11,M008,1929761,54,99.838,234,24373
2026-05-17,M008,1795768,4,99.746,591,23487
2026-05-23,M008,2166172,135,99.519,565,2295
2026-05-29,M008,1731712,11,99.384,590,21907
2026-06-04,M008,505513,134,99.673,77,6449
2026-06-10,M008,2297421,83,99.321,511,2455
2026-06-16,M008,1933889,69,99.942,69,24960
2026-06-22,M008,1042046,116,99.582,64,15682
2026-06-28,M008,918299,74,99.773,376,19725
2026-01-05,M009,1788147,12,99.352,193,18640
2026-01-11,M009,2301903,104,99.992,160,4880
2026-01-17,M009,1812639,46,99.244,160,21598
2026-01-23,M009,821699,141,99.361,81,15807
2026-01-29,M009,2303693,134,99.669,630,18767
2026-02-04,M009,1684150,51,99.902,614,18908
2026-02-10,M009,1907064,105,99.798,83,11593
2026-02-16,M009,310594,48,99.554,244,2861
2026-02-22,M009,1518594,44,99.725,389,9088
2026-02-28,M009,1869852,100,99.863,174,24738
2026-03-06,M009,428166,107,99.477,162,24381
2026-03-12,M009,1308379,98,99.281,395,10402
2026-03-18,M009,1166753,20,99.676,291,9643
2026-03-24,M009,1304350,71,99.963,214,22125
2026-03-30,M009,1022676,79,99.466,467,17395
2026-04-05,M009,2055215,142,99.742,535,12859
2026-04-11,M009,1171638,11,99.95,433,2789
2026-04-17,M009,780831,32,99.856,404,4977
2026-04-23,M009,400642,67,99.536,288,12368
2026-04-29,M009,1763550,85,99.757,211,13213
2026-05-05,M009,2355533,101,99.83,232,21088
2026-05-11,M009,1542922,56,99.536,542,4995
2026-05-17,M009,1703228,30,99.372,209,9102
2026-05-23,M009,427956,60,99.701,373,1964
2026-05-29,M009,2071039,134,99.699,104,15237
2026-06-04,M009,2108404,128,99.832,254,1611
2026-06-10,M009,190543,102,99.458,302,12092
2026-06-16,M009,815911,50,99.742,249,2910
2026-06-22,M009,2243649,13,99.504,380,11879
2026-06-28,M009,250434,86,99.662,304,12834
2026-01-05,M010,309477,104,99.998,252,3717
2026-01-11,M010,2346132,13,99.252,68,23532
2026-01-17,M010,880103,82,99.365,512,22967
2026-01-23,M010,1772049,5,99.41,547,22356
2026-01-29,M010,217415,61,99.81,499,5481
2026-02-04,M010,2057839,136,99.59,405,10128
2026-02-10,M010,1959302,103,99.74,289,14466
2026-02-16,M010,2020752,141,99.314,475,11347
2026-02-22,M010,1634697,142,99.35,300,1052
2026-02-28,M010,438702,22,99.916,124,14211
2026-03-06,M010,2319593,140,99.744,71,3985
2026-03-12,M010,2030772,85,99.549,334,17159
2026-03-18,M010,2049871,16,99.428,535,18868
2026-03-24,M010,1848925,78,99.204,287,18394
2026-03-30,M010,1272170,143,99.293,603,20286
2026-04-05,M010,2167712,13,99.947,112,21894
2026-04-11,M010,491752,143,99.817,505,4944
2026-04-17,M010,724721,66,99.979,131,21958
2026-04-23,M010,778417,86,99.86,616,23494
2026-04-29,M010,2093385,141,99.59,546,25987
2026-05-05,M010,1461862,139,99.491,413,2795
2026-05-11,M010,2203619,120,99.481,410,7842
2026-05-17,M010,806717,114,99.669,212,25717
2026-05-23,M010,997177,81,99.249,122,6971
2026-05-29,M010,689915,115,99.642,94,25866
2026-06-04,M010,1116731,14,99.643,365,17512
2026-06-10,M010,652949,81,99.922,538,13007
2026-06-16,M010,1644656,116,99.391,529,8201
2026-06-22,M010,1765872,74,99.618,267,16269
2026-06-28,M010,750537,87,99.276,154,6817
2026-01-05,M011,1255971,41,99.729,184,15922
2026-01-11,M011,2247354,54,99.851,115,14498
2026-01-17,M011,1592767,89,99.239,504,4619
2026-01-23,M011,1160983,97,99.378,404,16052
2026-01-29,M011,1918503,13,99.582,76,15052
2026-02-04,M011,1568558,69,99.571,508,2273
2026-02-10,M011,797784,109,99.372,240,4132
2026-02-16,M011,344247,132,99.344,545,23152
2026-02-22,M011,473009,88,99.534,346,19183
2026-02-28,M011,2000669,30,99.605,198,5497
2026-03-06,M011,1812533,126,99.994,317,23478
2026-03-12,M011,1409085,11,99.833,302,9311
2026-03-18,M011,379736,136,99.37,340,2871
2026-03-24,M011,895803,124,99.467,494,10949
2026-03-30,M011,188209,58,99.939,633,24974
2026-04-05,M011,2084068,69,99.826,73,21926
2026-04-11,M011,2373290,47,99.706,366,19899
2026-04-17,M011,2338185,145,99.28,47,17424
2026-04-23,M011,248966,134,99.229,500,16474
2026-04-29,M011,952049,145,99.653,599,12677
2026-05-05,M011,1176629,143,99.512,313,18982
2026-05-11,M011,1973941,12,99.305,408,16022
2026-05-17,M011,352319,87,99.818,161,8925
2026-05-23,M011,461199,76,99.383,503,17095
2026-05-29,M011,391816,76,99.925,574,13978
2026-06-04,M011,2076116,8,99.732,576,9752
2026-06-10,M011,1764097,125,99.987,625,22942
2026-06-16,M011,536268,122,99.296,620,3057
2026-06-22,M011,1328821,93,99.686,401,5674
2026-06-28,M011,1250591,108,99.74,321,24461
2026-01-05,M012,850772,51,99.697,524,4147
2026-01-11,M012,1720186,85,99.238,335,7581
2026-01-17,M012,1074091,96,99.766,276,3146
2026-01-23,M012,325945,34,99.486,566,15133
2026-01-29,M012,1958934,71,99.226,176,13434
2026-02-04,M012,919125,91,99.49,263,23069
2026-02-10,M012,2097695,80,99.386,181,19518
2026-02-16,M012,1404760,122,99.484,285,9119
2026-02-22,M012,1049571,13,99.255,432,3095
2026-02-28,M012,1241973,94,99.767,132,15327
2026-03-06,M012,535591,141,99.467,373,18006
2026-03-12,M012,2270989,90,99.289,191,20269
2026-03-18,M012,910528,69,99.282,449,14051
2026-03-24,M012,1842282,15,99.945,342,9143
2026-03-30,M012,1369997,53,99.374,465,12435
2026-04-05,M012,840073,126,99.645,621,5513
2026-04-11,M012,1352230,18,99.4,436,5081
2026-04-17,M012,1518025,117,99.41,108,6140
2026-04-23,M012,878991,123,99.682,265,21138
2026-04-29,M012,384335,59,99.647,224,10492
2026-05-05,M012,690785,39,99.858,334,22968
2026-05-11,M012,292742,59,99.64,217,15997
2026-05-17,M012,1682397,28,99.81,418,4266
2026-05-23,M012,1793717,98,99.73,240,23383
2026-05-29,M012,1325634,94,99.839,50,2801
2026-06-04,M012,2045829,75,99.553,191,5095
2026-06-10,M012,776376,118,99.567,499,12929
2026-06-16,M012,684161,118,99.882,338,25788
2026-06-22,M012,929782,145,99.638,252,7456
2026-06-28,M012,842436,8,99.565,140,5996
