trade_id,trade_timestamp,instrument_id,market_id,trader_id,side,quantity,price,currency,notional_value,trade_status,clearing_house
TR00037,2026-01-22 09:38:16,I011,M005,T010,Sell,250,66.65,EUR,11997000.0,Settled,LCH
TR00148,2026-01-22 11:02:30,I011,M005,T004,Buy,100,98.47,EUR,7089840.0,Settled,LCH
TR00100,2026-01-22 15:47:04,I003,M001,T019,Sell,25,27.39,EUR,493020.0,Settled,Nasdaq Clearing
TR00149,2026-01-23 16:49:48,I021,M010,T013,Sell,10,73.15,EUR,731500.0,Settled,ICE Clear Europe
TR00276,2026-01-25 12:12:50,I019,M009,T016,Buy,75,77.16,EUR,4166640.0,Executed,LCH
TR00113,2026-01-25 17:10:27,I005,M002,T010,Sell,25,36.56,GBP,658080.0,Executed,LCH
TR00299,2026-01-26 12:51:27,I005,M002,T002,Buy,20,31.23,GBP,449712.0,Executed,LCH
TR00016,2026-01-28 08:34:44,I022,M011,T004,Buy,100,31.42,EUR,2262240.0,Settled,Nasdaq Clearing
TR00045,2026-01-29 10:35:28,I022,M011,T020,Buy,500,29.88,EUR,10756800.0,Cleared,ICE Clear Europe
TR00269,2026-01-29 16:53:14,I004,M001,T008,Sell,25,30.93,EUR,556740.0,Settled,ICE Clear Europe
TR00167,2026-01-30 10:12:22,I023,M012,T013,Sell,5,92.41,GBP,462050.0,Executed,LCH
TR00143,2026-01-30 14:52:58,I020,M010,T015,Sell,100,74.67,EUR,7467000.0,Executed,Nasdaq Clearing
TR00114,2026-01-30 17:20:48,I016,M007,T019,Sell,25,97.2,EUR,1749600.0,Settled,Nasdaq Clearing
TR00206,2026-01-31 16:59:02,I013,M006,T016,Buy,25,91.67,EUR,1650060.0,Cancelled,ECC
TR00157,2026-02-02 09:47:13,I012,M005,T005,Sell,10,106.8,EUR,768960.0,Settled,Nasdaq Clearing
TR00133,2026-02-03 09:56:12,I013,M006,T014,Buy,20,76.87,EUR,1106928.0,Executed,LCH
TR00207,2026-02-03 11:16:32,I007,M003,T017,Buy,150,35.02,EUR,3782160.0,Executed,LCH
TR00095,2026-02-04 09:44:10,I004,M001,T017,Sell,250,30.01,EUR,5401800.0,Settled,ECC
TR00274,2026-02-04 10:01:45,I011,M005,T020,Sell,20,77.73,EUR,1119312.0,Cleared,ICE Clear Europe
TR00066,2026-02-04 14:03:56,I022,M011,T001,Buy,100,31.94,EUR,2299680.0,Cleared,Nasdaq Clearing
TR00168,2026-02-05 07:00:18,I009,M004,T019,Buy,20,37.51,EUR,540144.0,Cleared,ICE Clear Europe
TR00031,2026-02-05 10:08:17,I014,M006,T011,Sell,500,98.65,EUR,35514000.0,Cleared,Nasdaq Clearing
TR00121,2026-02-05 11:31:39,I012,M005,T020,Buy,150,116.2,EUR,12549600.0,Settled,ECC
TR00056,2026-02-05 16:36:05,I002,M001,T016,Sell,5,27.91,EUR,100476.0,Cleared,Nasdaq Clearing
TR00179,2026-02-06 15:42:33,I016,M007,T018,Sell,150,113.09,EUR,12213720.0,Cleared,LCH
TR00140,2026-02-08 12:20:27,I019,M009,T001,Buy,250,96.92,EUR,17445600.0,Settled,LCH
TR00079,2026-02-09 07:25:41,I011,M005,T018,Buy,5,69.83,EUR,251388.0,Executed,ICE Clear Europe
TR00152,2026-02-09 08:34:29,I010,M005,T009,Sell,5,82.04,EUR,295344.0,Cleared,LCH
TR00245,2026-02-09 11:24:27,I023,M012,T012,Sell,250,90.25,GBP,22562500.0,Executed,ICE Clear Europe
TR00287,2026-02-10 11:34:33,I008,M003,T015,Buy,500,33.06,EUR,11901600.0,Cleared,ECC
TR00047,2026-02-10 16:35:26,I016,M007,T015,Buy,250,93.85,EUR,16893000.0,Settled,ICE Clear Europe
TR00002,2026-02-11 11:15:18,I004,M001,T004,Buy,100,42.68,EUR,3072960.0,Settled,ECC
TR00183,2026-02-12 14:18:35,I022,M011,T020,Buy,5,28.27,EUR,101772.0,Cleared,LCH
TR00252,2026-02-13 07:02:33,I022,M011,T017,Sell,250,39.51,EUR,7111800.0,Settled,LCH
TR00001,2026-02-13 16:42:29,I005,M002,T019,Sell,150,37.25,GBP,4023000.0,Cleared,LCH
TR00067,2026-02-14 07:13:05,I010,M005,T018,Buy,100,99.6,EUR,7171200.0,Cleared,ECC
TR00300,2026-02-15 12:49:52,I024,M001,T016,Buy,200,44.1,EUR,6350400.0,Cleared,ECC
TR00124,2026-02-17 15:52:27,I021,M010,T011,Sell,150,84.14,EUR,12621000.0,Settled,ECC
TR00096,2026-02-18 12:53:50,I003,M001,T016,Buy,100,27.14,EUR,1954080.0,Settled,ICE Clear Europe
TR00048,2026-02-20 15:33:37,I017,M008,T001,Sell,75,107.75,GBP,5818500.0,Settled,Nasdaq Clearing
TR00292,2026-02-20 15:53:08,I012,M005,T001,Sell,100,105.46,EUR,7593120.0,Settled,LCH
TR00197,2026-02-21 14:07:00,I003,M001,T009,Sell,20,34.92,EUR,502848.0,Cleared,ECC
TR00046,2026-02-22 10:08:06,I023,M012,T002,Sell,250,95.66,GBP,23915000.0,Executed,ICE Clear Europe
TR00010,2026-02-24 12:34:09,I003,M001,T018,Buy,25,33.15,EUR,596700.0,Cleared,ICE Clear Europe
TR00006,2026-02-24 16:03:15,I013,M006,T017,Sell,75,95.36,EUR,5149440.0,Cleared,LCH
TR00173,2026-02-25 11:04:12,I017,M008,T001,Buy,5,114.95,GBP,413820.0,Cleared,ECC
TR00224,2026-02-25 11:58:13,I018,M008,T014,Sell,150,119.76,GBP,12934080.0,Settled,LCH
TR00099,2026-02-26 15:06:41,I019,M009,T012,Sell,5,87.58,EUR,315288.0,Settled,ECC
TR00030,2026-02-27 11:17:26,I010,M005,T003,Buy,20,101.59,EUR,1462896.0,Cancelled,LCH
TR00054,2026-02-27 17:20:50,I013,M006,T001,Sell,10,87.4,EUR,629280.0,Cleared,Nasdaq Clearing
TR00105,2026-02-28 15:11:17,I024,M001,T013,Buy,50,40.19,EUR,1446840.0,Settled,LCH
TR00209,2026-03-02 07:58:39,I015,M007,T018,Sell,75,118.86,EUR,6418440.0,Settled,Nasdaq Clearing
TR00215,2026-03-02 09:24:49,I016,M007,T005,Sell,200,107.71,EUR,15510240.0,Settled,ECC
TR00281,2026-03-03 10:21:30,I022,M011,T011,Sell,150,30.68,EUR,3313440.0,Settled,Nasdaq Clearing
TR00057,2026-03-03 11:36:15,I012,M005,T007,Buy,200,96.0,EUR,13824000.0,Cleared,Nasdaq Clearing
TR00145,2026-03-03 17:01:38,I010,M005,T013,Buy,250,83.97,EUR,15114600.0,Cleared,Nasdaq Clearing
TR00098,2026-03-04 09:36:39,I013,M006,T007,Buy,20,99.96,EUR,1439424.0,Settled,LCH
TR00175,2026-03-04 15:18:45,I006,M002,T004,Buy,150,33.16,GBP,3581280.0,Settled,ICE Clear Europe
TR00103,2026-03-08 16:42:18,I013,M006,T020,Buy,75,68.45,EUR,3696300.0,Cleared,Nasdaq Clearing
TR00256,2026-03-09 09:04:27,I013,M006,T004,Sell,200,89.95,EUR,12952800.0,Settled,Nasdaq Clearing
TR00290,2026-03-09 09:57:19,I008,M003,T006,Sell,20,31.32,EUR,451008.0,Settled,LCH
TR00063,2026-03-09 12:45:01,I016,M007,T002,Buy,200,70.1,EUR,10094400.0,Cleared,ECC
TR00234,2026-03-09 16:54:17,I011,M005,T009,Buy,25,100.67,EUR,1812060.0,Cleared,ICE Clear Europe
TR00108,2026-03-10 11:06:36,I020,M010,T008,Buy,500,78.08,EUR,39040000.0,Cleared,LCH
TR00052,2026-03-13 09:48:14,I003,M001,T011,Sell,100,31.74,EUR,2285280.0,Cleared,LCH
TR00081,2026-03-13 13:50:12,I023,M012,T011,Buy,50,72.59,GBP,3629500.0,Settled,ICE Clear Europe
TR00163,2026-03-15 09:28:37,I017,M008,T002,Sell,50,110.21,GBP,3967560.0,Executed,ICE Clear Europe
TR00059,2026-03-15 10:48:51,I022,M011,T006,Sell,150,39.38,EUR,4253040.0,Settled,LCH
TR00182,2026-03-16 11:30:34,I008,M003,T011,Buy,25,38.73,EUR,697140.0,Settled,ECC
TR00025,2026-03-16 16:37:14,I006,M002,T019,Sell,10,32.31,GBP,232632.0,Settled,LCH
TR00029,2026-03-18 08:54:03,I005,M002,T003,Sell,500,34.05,GBP,12258000.0,Executed,LCH
TR00115,2026-03-18 10:13:00,I015,M007,T004,Buy,50,86.71,EUR,3121560.0,Settled,Nasdaq Clearing
TR00259,2026-03-18 13:54:53,I008,M003,T019,Sell,250,26.42,EUR,4755600.0,Cleared,LCH
TR00038,2026-03-18 14:30:19,I012,M005,T016,Sell,75,117.55,EUR,6347700.0,Executed,LCH
TR00130,2026-03-20 11:38:19,I021,M010,T010,Buy,5,70.59,EUR,352950.0,Cleared,LCH
TR00132,2026-03-20 13:38:54,I017,M008,T011,Buy,75,87.53,GBP,4726620.0,Settled,ICE Clear Europe
TR00093,2026-03-21 11:11:42,I023,M012,T005,Sell,5,71.05,GBP,355250.0,Settled,ICE Clear Europe
TR00260,2026-03-21 17:00:33,I022,M011,T015,Buy,100,38.87,EUR,2798640.0,Cleared,LCH
TR00034,2026-03-22 08:22:46,I005,M002,T012,Buy,5,37.28,GBP,134208.0,Settled,LCH
TR00227,2026-03-22 17:57:20,I003,M001,T013,Buy,150,38.57,EUR,4165560.0,Settled,ECC
TR00289,2026-03-24 10:05:50,I022,M011,T009,Sell,25,36.46,EUR,656280.0,Cleared,LCH
TR00240,2026-03-24 10:47:42,I004,M001,T010,Sell,50,38.07,EUR,1370520.0,Settled,ICE Clear Europe
TR00288,2026-03-25 16:15:55,I023,M012,T017,Sell,5,96.47,GBP,482350.0,Cleared,ECC
TR00258,2026-03-27 13:15:05,I010,M005,T016,Sell,25,74.96,EUR,1349280.0,Settled,ECC
TR00020,2026-03-27 14:45:53,I016,M007,T007,Buy,100,119.14,EUR,8578080.0,Settled,ICE Clear Europe
TR00186,2026-03-27 16:33:18,I014,M006,T004,Buy,100,107.93,EUR,7770960.0,Settled,ICE Clear Europe
TR00241,2026-03-28 08:56:00,I014,M006,T004,Sell,75,101.91,EUR,5503140.0,Cleared,ICE Clear Europe
TR00283,2026-03-28 11:15:20,I020,M010,T012,Sell,50,79.03,EUR,3951500.0,Settled,Nasdaq Clearing
TR00203,2026-03-28 13:25:39,I016,M007,T014,Sell,5,78.91,EUR,284076.0,Cleared,ECC
TR00102,2026-03-29 16:16:04,I016,M007,T006,Sell,10,116.35,EUR,837720.0,Settled,LCH
TR00013,2026-03-30 11:20:47,I008,M003,T014,Buy,50,31.51,EUR,1134360.0,Settled,LCH
TR00104,2026-03-31 16:30:27,I023,M012,T008,Buy,50,92.55,GBP,4627500.0,Settled,LCH
TR00282,2026-04-03 14:49:15,I021,M010,T018,Sell,200,79.17,EUR,15834000.0,Executed,ICE Clear Europe
TR00042,2026-04-05 14:05:44,I011,M005,T006,Sell,25,111.36,EUR,2004480.0,Settled,ECC
TR00229,2026-04-05 16:44:14,I002,M001,T012,Sell,5,28.57,EUR,102852.0,Cleared,ECC
TR00005,2026-04-05 17:40:28,I021,M010,T018,Buy,25,104.81,EUR,2620250.0,Settled,Nasdaq Clearing
TR00131,2026-04-08 07:31:15,I003,M001,T005,Sell,250,37.37,EUR,6726600.0,Settled,ICE Clear Europe
TR00273,2026-04-09 11:05:47,I003,M001,T007,Sell,150,33.85,EUR,3655800.0,Settled,LCH
TR00075,2026-04-10 13:19:46,I009,M004,T009,Buy,150,45.69,EUR,4934520.0,Executed,Nasdaq Clearing
TR00194,2026-04-10 15:16:16,I024,M001,T004,Buy,500,35.16,EUR,12657600.0,Cleared,LCH
TR00231,2026-04-11 14:15:33,I011,M005,T012,Buy,20,93.04,EUR,1339776.0,Settled,LCH
TR00160,2026-04-12 08:41:48,I010,M005,T008,Sell,100,127.73,EUR,9196560.0,Executed,ECC
TR00253,2026-04-12 10:12:18,I013,M006,T006,Buy,25,116.67,EUR,2100060.0,Settled,ICE Clear Europe
TR00094,2026-04-12 11:47:06,I020,M010,T012,Buy,5,65.25,EUR,326250.0,Cleared,ICE Clear Europe
TR00278,2026-04-13 16:42:13,I022,M011,T005,Buy,100,36.85,EUR,2653200.0,Cancelled,Nasdaq Clearing
TR00188,2026-04-14 13:00:01,I022,M011,T002,Buy,250,38.7,EUR,6966000.0,Settled,ICE Clear Europe
TR00199,2026-04-14 14:52:45,I023,M012,T017,Buy,5,69.58,GBP,347900.0,Settled,ECC
TR00246,2026-04-15 08:13:37,I001,M001,T016,Sell,10,32.1,EUR,231120.0,Cleared,LCH
TR00053,2026-04-16 16:21:19,I018,M008,T006,Sell,25,71.43,GBP,1285740.0,Settled,LCH
TR00262,2026-04-17 09:58:23,I015,M007,T009,Buy,20,122.45,EUR,1763280.0,Settled,ICE Clear Europe
TR00263,2026-04-20 08:09:18,I011,M005,T001,Buy,150,85.73,EUR,9258840.0,Settled,ICE Clear Europe
TR00091,2026-04-21 14:23:04,I001,M001,T013,Buy,75,26.95,EUR,1455300.0,Settled,ECC
TR00111,2026-04-22 11:38:57,I003,M001,T004,Sell,100,34.53,EUR,2486160.0,Settled,ECC
TR00296,2026-04-23 12:15:06,I008,M003,T013,Buy,5,27.51,EUR,99036.0,Settled,ECC
TR00198,2026-04-24 11:59:50,I007,M003,T014,Buy,150,34.74,EUR,3751920.0,Settled,ICE Clear Europe
TR00298,2026-04-24 12:51:21,I004,M001,T001,Sell,250,26.56,EUR,4780800.0,Settled,LCH
TR00228,2026-04-25 07:32:25,I012,M005,T002,Buy,250,109.53,EUR,19715400.0,Settled,ECC
TR00144,2026-04-26 13:16:28,I003,M001,T005,Sell,150,32.76,EUR,3538080.0,Executed,LCH
TR00122,2026-04-26 14:40:39,I024,M001,T014,Sell,10,32.91,EUR,236952.0,Settled,ECC
TR00225,2026-04-26 15:16:22,I006,M002,T008,Sell,50,31.71,GBP,1141560.0,Settled,Nasdaq Clearing
TR00106,2026-04-27 08:44:03,I017,M008,T015,Sell,200,91.5,GBP,13176000.0,Settled,Nasdaq Clearing
TR00277,2026-04-28 16:18:31,I009,M004,T009,Buy,10,46.0,EUR,331200.0,Settled,ICE Clear Europe
TR00142,2026-04-30 08:07:44,I008,M003,T017,Buy,20,28.95,EUR,416880.0,Executed,Nasdaq Clearing
TR00127,2026-04-30 14:20:03,I015,M007,T014,Buy,10,78.0,EUR,561600.0,Cleared,Nasdaq Clearing
TR00062,2026-05-03 09:54:07,I015,M007,T016,Sell,10,99.81,EUR,718632.0,Settled,ICE Clear Europe
TR00077,2026-05-03 11:29:26,I023,M012,T018,Buy,10,83.31,GBP,833100.0,Settled,ICE Clear Europe
TR00164,2026-05-03 13:38:03,I022,M011,T008,Buy,25,43.8,EUR,788400.0,Cancelled,Nasdaq Clearing
TR00014,2026-05-04 07:44:05,I016,M007,T001,Sell,200,73.61,EUR,10599840.0,Settled,ICE Clear Europe
TR00212,2026-05-05 11:32:36,I008,M003,T016,Sell,250,34.3,EUR,6174000.0,Executed,ECC
TR00107,2026-05-05 13:03:50,I019,M009,T018,Sell,75,122.58,EUR,6619320.0,Executed,ECC
TR00039,2026-05-05 14:58:02,I004,M001,T018,Sell,150,36.79,EUR,3973320.0,Settled,ECC
TR00266,2026-05-06 07:59:55,I023,M012,T012,Sell,20,86.34,GBP,1726800.0,Cleared,ICE Clear Europe
TR00026,2026-05-06 10:34:08,I019,M009,T017,Buy,25,108.31,EUR,1949580.0,Settled,Nasdaq Clearing
TR00028,2026-05-06 14:00:53,I019,M009,T007,Buy,200,117.75,EUR,16956000.0,Cleared,ECC
TR00230,2026-05-07 11:47:36,I015,M007,T018,Sell,200,118.15,EUR,17013600.0,Cleared,ECC
TR00242,2026-05-08 14:19:02,I012,M005,T001,Buy,150,115.28,EUR,12450240.0,Cleared,Nasdaq Clearing
TR00087,2026-05-08 14:39:24,I022,M011,T005,Sell,100,28.57,EUR,2057040.0,Settled,Nasdaq Clearing
TR00092,2026-05-09 15:13:44,I020,M010,T015,Sell,100,86.66,EUR,8666000.0,Settled,ECC
TR00112,2026-05-09 17:30:06,I009,M004,T010,Buy,100,42.5,EUR,3060000.0,Cleared,Nasdaq Clearing
TR00202,2026-05-10 11:27:01,I010,M005,T007,Sell,25,102.67,EUR,1848060.0,Cleared,ECC
TR00235,2026-05-11 12:37:59,I017,M008,T020,Buy,10,89.9,GBP,647280.0,Settled,LCH
TR00264,2026-05-12 10:08:21,I023,M012,T003,Sell,25,69.98,GBP,1749500.0,Cleared,ECC
TR00294,2026-05-12 10:20:16,I011,M005,T009,Sell,100,130.2,EUR,9374400.0,Settled,ICE Clear Europe
TR00180,2026-05-12 10:29:34,I024,M001,T016,Buy,100,28.46,EUR,2049120.0,Settled,ECC
TR00015,2026-05-12 13:33:05,I012,M005,T006,Sell,20,116.26,EUR,1674144.0,Settled,ICE Clear Europe
TR00117,2026-05-13 08:32:37,I017,M008,T005,Buy,100,96.34,GBP,6936480.0,Settled,ECC
TR00257,2026-05-13 10:27:35,I003,M001,T010,Buy,150,43.32,EUR,4678560.0,Executed,ECC
TR00032,2026-05-13 12:08:53,I007,M003,T015,Buy,25,32.44,EUR,583920.0,Settled,ICE Clear Europe
TR00218,2026-05-13 14:47:10,I012,M005,T007,Sell,75,97.47,EUR,5263380.0,Settled,Nasdaq Clearing
TR00210,2026-05-14 09:22:04,I014,M006,T020,Sell,50,119.29,EUR,4294440.0,Cleared,Nasdaq Clearing
TR00232,2026-05-15 12:35:07,I013,M006,T009,Buy,75,81.28,EUR,4389120.0,Settled,LCH
TR00272,2026-05-16 08:10:01,I005,M002,T020,Sell,250,29.43,GBP,5297400.0,Cleared,ICE Clear Europe
TR00220,2026-05-16 13:28:49,I022,M011,T018,Buy,20,37.84,EUR,544896.0,Settled,Nasdaq Clearing
TR00200,2026-05-16 16:43:29,I011,M005,T006,Sell,150,67.72,EUR,7313760.0,Cleared,Nasdaq Clearing
TR00213,2026-05-17 09:35:25,I020,M010,T019,Buy,25,71.09,EUR,1777250.0,Cleared,LCH
TR00226,2026-05-17 13:11:56,I022,M011,T017,Sell,100,34.14,EUR,2458080.0,Settled,Nasdaq Clearing
TR00284,2026-05-17 13:57:30,I003,M001,T003,Sell,150,29.37,EUR,3171960.0,Settled,ICE Clear Europe
TR00205,2026-05-17 14:38:11,I022,M011,T003,Buy,25,34.05,EUR,612900.0,Executed,Nasdaq Clearing
TR00061,2026-05-17 17:50:08,I012,M005,T006,Sell,50,108.0,EUR,3888000.0,Settled,ICE Clear Europe
TR00285,2026-05-18 15:25:55,I005,M002,T005,Sell,50,38.97,GBP,1402920.0,Settled,LCH
TR00219,2026-05-18 15:34:58,I009,M004,T008,Sell,75,38.39,EUR,2073060.0,Settled,ECC
TR00116,2026-05-19 09:28:44,I022,M011,T020,Sell,250,31.89,EUR,5740200.0,Settled,ICE Clear Europe
TR00239,2026-05-19 13:49:28,I004,M001,T019,Sell,50,38.71,EUR,1393560.0,Executed,ECC
TR00251,2026-05-19 15:01:44,I004,M001,T015,Buy,5,45.68,EUR,164448.0,Settled,LCH
TR00146,2026-05-20 07:32:04,I017,M008,T011,Buy,10,130.2,GBP,937440.0,Cleared,LCH
TR00295,2026-05-20 14:27:52,I009,M004,T008,Buy,250,39.17,EUR,7050600.0,Settled,LCH
TR00007,2026-05-22 15:25:11,I022,M011,T003,Sell,50,44.37,EUR,1597320.0,Executed,ECC
TR00068,2026-05-25 11:19:00,I007,M003,T018,Buy,75,31.93,EUR,1724220.0,Cleared,ECC
TR00017,2026-05-25 12:32:27,I007,M003,T016,Sell,150,39.02,EUR,4214160.0,Executed,LCH
TR00165,2026-05-26 08:55:31,I013,M006,T013,Buy,200,130.98,EUR,18861120.0,Settled,LCH
TR00078,2026-05-26 11:49:20,I022,M011,T008,Buy,500,34.73,EUR,12502800.0,Settled,ECC
TR00185,2026-05-27 09:44:46,I004,M001,T018,Sell,150,39.3,EUR,4244400.0,Cleared,LCH
TR00204,2026-05-29 08:00:51,I008,M003,T014,Sell,100,29.92,EUR,2154240.0,Settled,Nasdaq Clearing
TR00211,2026-05-31 07:49:45,I021,M010,T017,Buy,50,98.18,EUR,4909000.0,Cleared,LCH
TR00279,2026-05-31 16:00:47,I003,M001,T008,Sell,100,26.43,EUR,1902960.0,Settled,ECC
TR00141,2026-06-01 08:59:11,I020,M010,T005,Sell,200,64.4,EUR,12880000.0,Executed,LCH
TR00033,2026-06-01 15:27:40,I015,M007,T015,Sell,150,120.61,EUR,13025880.0,Settled,LCH
TR00221,2026-06-02 10:27:17,I010,M005,T008,Sell,5,126.76,EUR,456336.0,Cancelled,Nasdaq Clearing
TR00004,2026-06-02 17:26:38,I008,M003,T005,Sell,25,32.54,EUR,585720.0,Settled,Nasdaq Clearing
TR00214,2026-06-03 12:15:22,I014,M006,T007,Buy,50,119.53,EUR,4303080.0,Executed,ICE Clear Europe
TR00270,2026-06-05 09:37:00,I002,M001,T002,Buy,10,30.71,EUR,221112.0,Settled,ECC
TR00291,2026-06-05 13:56:55,I021,M010,T015,Sell,200,76.29,EUR,15258000.0,Settled,ECC
TR00084,2026-06-05 16:17:29,I024,M001,T016,Sell,150,34.26,EUR,3700080.0,Cleared,Nasdaq Clearing
TR00088,2026-06-06 08:09:49,I010,M005,T004,Buy,100,114.35,EUR,8233200.0,Settled,LCH
TR00147,2026-06-06 09:20:51,I012,M005,T009,Buy,25,120.58,EUR,2170440.0,Settled,Nasdaq Clearing
TR00208,2026-06-06 17:40:38,I018,M008,T010,Buy,200,109.01,GBP,15697440.0,Settled,Nasdaq Clearing
TR00192,2026-06-07 09:23:07,I002,M001,T015,Buy,50,39.1,EUR,1407600.0,Settled,ICE Clear Europe
TR00072,2026-06-07 12:51:57,I002,M001,T018,Sell,100,31.6,EUR,2275200.0,Settled,ECC
TR00027,2026-06-07 17:30:20,I014,M006,T017,Sell,5,119.9,EUR,431640.0,Settled,LCH
TR00217,2026-06-09 08:10:18,I001,M001,T001,Sell,20,41.54,EUR,598176.0,Cleared,ICE Clear Europe
TR00071,2026-06-09 09:41:32,I004,M001,T015,Buy,100,39.8,EUR,2865600.0,Settled,Nasdaq Clearing
TR00064,2026-06-09 13:24:15,I017,M008,T018,Sell,250,115.69,GBP,20824200.0,Settled,LCH
TR00074,2026-06-09 15:30:52,I023,M012,T015,Sell,75,94.07,GBP,7055250.0,Cleared,LCH
TR00244,2026-06-09 16:51:14,I012,M005,T001,Buy,20,98.45,EUR,1417680.0,Settled,ICE Clear Europe
TR00153,2026-06-10 08:45:34,I017,M008,T008,Sell,20,78.78,GBP,1134432.0,Settled,ICE Clear Europe
TR00297,2026-06-11 08:56:37,I015,M007,T013,Sell,250,116.62,EUR,20991600.0,Settled,Nasdaq Clearing
TR00178,2026-06-12 12:59:14,I023,M012,T018,Buy,200,79.47,GBP,15894000.0,Cleared,ICE Clear Europe
TR00137,2026-06-12 14:31:58,I007,M003,T002,Sell,5,42.57,EUR,153252.0,Settled,ICE Clear Europe
TR00201,2026-06-13 14:13:39,I016,M007,T006,Buy,200,135.33,EUR,19487520.0,Cleared,Nasdaq Clearing
TR00159,2026-06-14 09:13:37,I009,M004,T006,Buy,500,28.79,EUR,10364400.0,Cleared,ECC
TR00123,2026-06-14 14:03:58,I012,M005,T005,Sell,200,103.69,EUR,14931360.0,Cancelled,Nasdaq Clearing
TR00169,2026-06-15 11:43:05,I016,M007,T013,Buy,75,133.69,EUR,7219260.0,Settled,LCH
TR00156,2026-06-16 07:41:09,I022,M011,T012,Sell,50,36.46,EUR,1312560.0,Cleared,LCH
TR00119,2026-06-16 13:31:35,I020,M010,T019,Sell,50,63.75,EUR,3187500.0,Settled,ICE Clear Europe
TR00101,2026-06-16 16:20:24,I017,M008,T010,Buy,500,81.43,GBP,29314800.0,Cleared,ICE Clear Europe
TR00170,2026-06-17 17:32:40,I008,M003,T006,Sell,75,36.07,EUR,1947780.0,Executed,LCH
TR00080,2026-06-18 15:21:31,I008,M003,T015,Sell,20,37.39,EUR,538416.0,Executed,Nasdaq Clearing
