order_id,order_timestamp,instrument_id,market_id,trader_id,side,quantity,limit_price,order_status,fill_rate
OR00187,2026-01-18 08:13:37,I002,M001,T005,Bid,25,46.29,Cancelled,0.0
OR00280,2026-01-18 08:24:32,I016,M007,T005,Offer,25,98.68,Partially Filled,0.38
OR00088,2026-01-21 07:14:32,I024,M001,T017,Offer,150,36.59,Partially Filled,0.53
OR00147,2026-01-22 07:13:14,I019,M009,T004,Offer,20,95.85,Open,0.0
OR00211,2026-01-22 13:36:58,I007,M003,T004,Bid,100,38.38,Partially Filled,0.64
OR00018,2026-01-22 15:17:19,I024,M001,T009,Offer,20,35.35,Filled,1.0
OR00169,2026-01-23 15:31:53,I021,M010,T007,Offer,20,68.19,Cancelled,0.0
OR00268,2026-01-24 10:31:23,I001,M001,T011,Bid,100,38.04,Filled,1.0
OR00278,2026-01-26 10:08:29,I024,M001,T008,Bid,50,38.56,Open,0.0
OR00249,2026-01-27 16:24:23,I018,M008,T019,Offer,150,98.22,Cancelled,0.0
OR00086,2026-01-27 16:34:36,I011,M005,T009,Bid,10,73.66,Partially Filled,0.43
OR00272,2026-01-31 10:07:23,I019,M009,T016,Offer,20,74.33,Filled,1.0
OR00161,2026-01-31 15:29:10,I013,M006,T004,Bid,10,79.31,Filled,1.0
OR00183,2026-01-31 17:37:19,I010,M005,T020,Offer,150,81.24,Filled,1.0
OR00129,2026-02-01 16:17:39,I020,M010,T013,Offer,10,65.31,Filled,1.0
OR00266,2026-02-02 12:36:44,I014,M006,T011,Offer,20,103.7,Filled,1.0
OR00006,2026-02-03 10:00:09,I022,M011,T007,Offer,5,28.3,Filled,1.0
OR00244,2026-02-03 13:41:06,I011,M005,T011,Bid,150,109.33,Partially Filled,0.51
OR00110,2026-02-03 16:15:41,I005,M002,T011,Bid,25,29.49,Cancelled,0.0
OR00251,2026-02-03 17:48:59,I003,M001,T002,Bid,200,34.9,Cancelled,0.0
OR00157,2026-02-04 16:07:40,I022,M011,T013,Offer,150,41.27,Open,0.0
OR00281,2026-02-06 12:41:48,I022,M011,T012,Offer,10,42.0,Cancelled,0.0
OR00228,2026-02-07 08:41:42,I011,M005,T019,Offer,150,113.45,Cancelled,0.0
OR00221,2026-02-07 14:07:58,I004,M001,T008,Offer,150,38.1,Filled,1.0
OR00070,2026-02-08 08:38:41,I013,M006,T002,Offer,25,97.08,Filled,1.0
OR00003,2026-02-08 17:02:40,I023,M012,T018,Bid,25,63.0,Filled,1.0
OR00144,2026-02-09 07:10:11,I021,M010,T001,Bid,10,80.79,Open,0.0
OR00206,2026-02-09 10:48:45,I004,M001,T016,Offer,25,31.98,Filled,1.0
OR00172,2026-02-09 13:15:30,I017,M008,T014,Offer,200,118.33,Open,0.0
OR00014,2026-02-10 09:17:28,I011,M005,T015,Offer,150,116.92,Filled,1.0
OR00094,2026-02-10 15:44:11,I017,M008,T020,Bid,5,88.78,Filled,1.0
OR00061,2026-02-10 17:53:40,I011,M005,T018,Offer,20,124.16,Filled,1.0
OR00222,2026-02-11 13:16:31,I021,M010,T008,Bid,10,81.93,Filled,1.0
OR00177,2026-02-13 08:36:44,I008,M003,T013,Bid,5,37.7,Filled,1.0
OR00048,2026-02-14 08:57:23,I016,M007,T003,Bid,25,85.63,Filled,1.0
OR00192,2026-02-15 08:42:45,I014,M006,T019,Offer,5,102.57,Filled,1.0
OR00205,2026-02-15 11:11:15,I021,M010,T012,Offer,50,69.28,Filled,1.0
OR00247,2026-02-15 17:51:22,I015,M007,T018,Offer,25,101.32,Partially Filled,0.81
OR00259,2026-02-16 16:02:36,I014,M006,T018,Bid,150,114.68,Filled,1.0
OR00255,2026-02-17 14:53:23,I004,M001,T003,Bid,25,39.94,Filled,1.0
OR00007,2026-02-20 16:14:54,I017,M008,T003,Bid,100,102.2,Partially Filled,0.57
OR00056,2026-02-21 11:59:17,I020,M010,T013,Offer,200,78.65,Partially Filled,0.85
OR00090,2026-02-21 13:04:20,I005,M002,T003,Offer,200,27.98,Cancelled,0.0
OR00293,2026-02-21 14:43:01,I017,M008,T011,Bid,50,69.15,Cancelled,0.0
OR00209,2026-02-21 17:36:01,I006,M002,T002,Bid,50,38.72,Open,0.0
OR00074,2026-02-23 08:37:50,I015,M007,T014,Bid,10,104.6,Open,0.0
OR00185,2026-02-23 15:19:22,I010,M005,T013,Offer,100,99.73,Open,0.0
OR00154,2026-02-24 11:42:40,I024,M001,T006,Bid,10,34.07,Filled,1.0
OR00076,2026-02-24 13:55:32,I021,M010,T007,Offer,200,71.26,Cancelled,0.0
OR00024,2026-02-25 07:20:21,I021,M010,T004,Offer,10,89.11,Open,0.0
OR00107,2026-02-26 09:25:57,I022,M011,T004,Bid,25,26.85,Filled,1.0
OR00019,2026-02-26 10:17:55,I005,M002,T014,Bid,50,44.82,Filled,1.0
OR00072,2026-02-26 13:28:13,I021,M010,T003,Bid,20,87.77,Filled,1.0
OR00092,2026-02-27 10:07:40,I013,M006,T011,Bid,20,79.4,Open,0.0
OR00163,2026-02-27 11:49:20,I002,M001,T007,Offer,25,38.65,Filled,1.0
OR00126,2026-02-28 10:10:23,I018,M008,T007,Bid,10,74.89,Cancelled,0.0
OR00115,2026-02-28 15:44:30,I020,M010,T002,Offer,200,80.88,Filled,1.0
OR00203,2026-03-01 15:48:58,I013,M006,T019,Bid,150,86.57,Filled,1.0
OR00068,2026-03-01 17:45:57,I001,M001,T001,Offer,150,29.62,Open,0.0
OR00190,2026-03-02 08:08:24,I020,M010,T019,Offer,20,78.15,Filled,1.0
OR00275,2026-03-03 10:03:58,I019,M009,T009,Offer,10,108.47,Filled,1.0
OR00106,2026-03-04 16:29:38,I003,M001,T015,Offer,200,40.55,Partially Filled,0.33
OR00016,2026-03-05 17:21:08,I011,M005,T007,Bid,20,124.96,Open,0.0
OR00250,2026-03-07 08:48:20,I021,M010,T011,Bid,150,100.7,Partially Filled,0.45
OR00181,2026-03-08 12:06:45,I022,M011,T009,Bid,25,41.61,Filled,1.0
OR00049,2026-03-09 16:29:09,I023,M012,T010,Bid,50,74.73,Cancelled,0.0
OR00004,2026-03-10 07:22:06,I018,M008,T006,Offer,200,83.12,Cancelled,0.0
OR00027,2026-03-10 10:00:51,I004,M001,T016,Bid,150,34.22,Cancelled,0.0
OR00153,2026-03-10 13:13:33,I005,M002,T007,Bid,20,25.38,Filled,1.0
OR00020,2026-03-10 17:42:46,I020,M010,T007,Bid,50,72.25,Cancelled,0.0
OR00077,2026-03-11 10:15:02,I024,M001,T008,Bid,200,36.41,Partially Filled,0.48
OR00078,2026-03-11 17:25:55,I013,M006,T006,Offer,20,78.2,Partially Filled,0.35
OR00262,2026-03-12 08:02:01,I001,M001,T008,Bid,100,36.45,Cancelled,0.0
OR00134,2026-03-12 15:48:49,I016,M007,T011,Offer,100,130.13,Filled,1.0
OR00058,2026-03-13 17:27:35,I019,M009,T008,Offer,10,95.69,Partially Filled,0.23
OR00117,2026-03-14 10:01:46,I013,M006,T003,Offer,20,119.77,Cancelled,0.0
OR00300,2026-03-14 13:43:21,I004,M001,T006,Bid,50,31.43,Cancelled,0.0
OR00189,2026-03-15 15:43:56,I006,M002,T003,Offer,10,42.73,Cancelled,0.0
OR00271,2026-03-16 10:10:15,I014,M006,T006,Offer,200,108.14,Cancelled,0.0
OR00156,2026-03-16 10:24:40,I001,M001,T006,Offer,200,36.52,Cancelled,0.0
OR00059,2026-03-16 10:51:29,I015,M007,T018,Offer,5,103.99,Open,0.0
OR00087,2026-03-16 13:18:26,I021,M010,T018,Bid,5,65.94,Open,0.0
OR00176,2026-03-17 11:55:56,I016,M007,T007,Offer,50,112.76,Filled,1.0
OR00164,2026-03-19 08:13:29,I006,M002,T018,Bid,50,33.97,Open,0.0
OR00242,2026-03-19 14:30:47,I006,M002,T006,Bid,200,42.76,Cancelled,0.0
OR00233,2026-03-19 17:49:01,I004,M001,T014,Bid,20,40.26,Filled,1.0
OR00042,2026-03-20 09:28:40,I023,M012,T007,Offer,5,76.15,Partially Filled,0.7
OR00224,2026-03-20 14:16:41,I008,M003,T007,Offer,25,37.31,Partially Filled,0.31
OR00246,2026-03-21 10:28:21,I011,M005,T016,Bid,10,84.96,Filled,1.0
OR00008,2026-03-22 17:54:26,I021,M010,T004,Offer,10,79.04,Filled,1.0
OR00141,2026-03-23 11:42:27,I014,M006,T009,Bid,50,62.83,Filled,1.0
OR00085,2026-03-25 17:46:03,I010,M005,T016,Bid,10,87.21,Filled,1.0
OR00047,2026-03-26 07:41:06,I014,M006,T019,Bid,150,72.33,Filled,1.0
OR00252,2026-03-26 16:11:38,I010,M005,T015,Offer,100,124.1,Filled,1.0
OR00127,2026-03-28 09:30:50,I007,M003,T020,Offer,200,27.72,Filled,1.0
OR00270,2026-03-29 17:06:06,I019,M009,T003,Offer,25,115.81,Partially Filled,0.77
OR00041,2026-03-30 11:33:25,I005,M002,T007,Offer,200,30.03,Open,0.0
OR00298,2026-03-30 13:43:15,I020,M010,T006,Offer,20,80.8,Filled,1.0
OR00188,2026-03-30 13:58:02,I007,M003,T016,Bid,150,36.5,Open,0.0
OR00263,2026-03-30 15:06:48,I010,M005,T018,Bid,150,75.23,Open,0.0
OR00229,2026-04-01 14:17:23,I023,M012,T002,Bid,50,72.53,Cancelled,0.0
OR00125,2026-04-02 15:36:40,I009,M004,T006,Offer,150,44.9,Filled,1.0
OR00130,2026-04-03 12:44:57,I006,M002,T003,Bid,20,41.79,Partially Filled,0.37
OR00066,2026-04-03 17:58:19,I008,M003,T020,Bid,100,34.03,Filled,1.0
OR00170,2026-04-05 11:03:09,I006,M002,T012,Offer,50,34.84,Filled,1.0
OR00254,2026-04-07 14:45:59,I004,M001,T013,Offer,5,45.54,Filled,1.0
OR00276,2026-04-10 08:06:12,I004,M001,T004,Bid,200,37.75,Open,0.0
OR00046,2026-04-10 16:31:13,I007,M003,T018,Bid,10,30.81,Cancelled,0.0
OR00064,2026-04-10 17:01:00,I014,M006,T008,Offer,10,68.12,Partially Filled,0.23
OR00283,2026-04-11 08:17:30,I011,M005,T011,Bid,200,123.26,Filled,1.0
OR00065,2026-04-12 14:59:11,I015,M007,T010,Bid,25,90.47,Cancelled,0.0
OR00082,2026-04-15 11:54:07,I005,M002,T005,Offer,10,39.98,Filled,1.0
OR00245,2026-04-15 13:18:08,I022,M011,T002,Bid,5,43.58,Filled,1.0
OR00291,2026-04-16 08:22:13,I022,M011,T005,Bid,5,42.51,Partially Filled,0.6
OR00152,2026-04-16 10:03:11,I001,M001,T020,Offer,25,37.43,Open,0.0
OR00138,2026-04-18 11:29:10,I018,M008,T017,Bid,50,95.88,Open,0.0
OR00013,2026-04-19 09:56:38,I023,M012,T020,Offer,25,85.55,Cancelled,0.0
OR00171,2026-04-19 13:34:10,I006,M002,T020,Bid,50,31.09,Partially Filled,0.53
OR00167,2026-04-19 15:08:36,I014,M006,T014,Offer,5,74.9,Filled,1.0
OR00260,2026-04-19 16:40:40,I022,M011,T004,Offer,200,29.4,Filled,1.0
OR00118,2026-04-20 08:54:20,I008,M003,T015,Bid,50,25.87,Filled,1.0
OR00200,2026-04-20 13:42:26,I008,M003,T018,Bid,100,30.25,Filled,1.0
OR00131,2026-04-21 11:39:18,I022,M011,T005,Offer,25,36.07,Filled,1.0
OR00267,2026-04-22 14:43:20,I020,M010,T015,Offer,25,80.92,Filled,1.0
OR00142,2026-04-24 15:16:29,I006,M002,T014,Bid,150,37.94,Filled,1.0
OR00236,2026-04-25 12:10:46,I021,M010,T014,Bid,20,72.93,Open,0.0
OR00030,2026-04-25 14:03:51,I018,M008,T010,Bid,100,127.15,Filled,1.0
OR00235,2026-04-26 13:53:29,I016,M007,T007,Offer,100,87.06,Filled,1.0
OR00075,2026-04-26 13:55:13,I024,M001,T015,Bid,50,37.95,Filled,1.0
OR00174,2026-04-27 12:45:16,I008,M003,T010,Offer,5,32.04,Partially Filled,0.57
OR00140,2026-04-28 09:54:14,I001,M001,T015,Offer,5,33.02,Filled,1.0
OR00116,2026-04-28 11:31:53,I024,M001,T007,Bid,20,38.52,Filled,1.0
OR00219,2026-04-28 11:39:24,I003,M001,T016,Offer,100,41.64,Filled,1.0
OR00005,2026-04-29 13:25:32,I024,M001,T010,Offer,10,31.79,Cancelled,0.0
OR00175,2026-04-29 17:24:24,I002,M001,T001,Bid,25,31.19,Filled,1.0
OR00150,2026-04-30 07:54:51,I017,M008,T008,Bid,150,81.25,Open,0.0
OR00290,2026-04-30 09:28:53,I023,M012,T011,Offer,25,73.14,Cancelled,0.0
OR00151,2026-05-02 09:19:07,I010,M005,T002,Bid,200,123.43,Cancelled,0.0
OR00168,2026-05-02 10:01:22,I010,M005,T005,Offer,10,122.88,Partially Filled,0.83
OR00122,2026-05-02 11:56:26,I001,M001,T015,Offer,150,38.11,Cancelled,0.0
OR00162,2026-05-02 17:50:46,I017,M008,T008,Offer,20,101.77,Cancelled,0.0
OR00273,2026-05-04 07:45:46,I005,M002,T016,Bid,5,35.83,Filled,1.0
OR00210,2026-05-05 09:50:09,I014,M006,T019,Offer,100,113.57,Filled,1.0
OR00243,2026-05-06 14:49:57,I017,M008,T008,Offer,100,90.29,Cancelled,0.0
OR00080,2026-05-07 09:38:48,I017,M008,T015,Offer,200,113.18,Cancelled,0.0
OR00218,2026-05-07 11:30:31,I007,M003,T006,Offer,100,35.13,Cancelled,0.0
OR00050,2026-05-07 15:21:13,I004,M001,T020,Bid,20,42.37,Open,0.0
OR00055,2026-05-09 07:23:32,I014,M006,T003,Offer,25,124.84,Filled,1.0
OR00073,2026-05-09 11:31:04,I004,M001,T004,Offer,50,45.14,Filled,1.0
OR00294,2026-05-11 12:41:19,I002,M001,T018,Bid,5,36.68,Open,0.0
OR00084,2026-05-12 16:22:04,I002,M001,T020,Bid,150,41.12,Filled,1.0
OR00079,2026-05-13 08:23:34,I007,M003,T006,Offer,50,42.25,Cancelled,0.0
OR00032,2026-05-15 13:09:58,I023,M012,T009,Offer,150,83.59,Filled,1.0
OR00178,2026-05-16 13:18:10,I005,M002,T020,Offer,25,40.43,Filled,1.0
OR00023,2026-05-17 11:56:28,I016,M007,T003,Bid,10,96.89,Filled,1.0
OR00159,2026-05-18 07:14:30,I013,M006,T014,Bid,20,142.55,Filled,1.0
OR00297,2026-05-18 11:11:31,I010,M005,T013,Bid,50,72.84,Cancelled,0.0
OR00145,2026-05-18 12:09:55,I018,M008,T020,Offer,100,87.28,Cancelled,0.0
OR00191,2026-05-18 13:30:33,I004,M001,T001,Bid,150,38.7,Filled,1.0
OR00269,2026-05-18 15:40:48,I008,M003,T013,Offer,25,32.42,Filled,1.0
OR00091,2026-05-18 16:19:13,I002,M001,T007,Offer,200,36.97,Cancelled,0.0
OR00015,2026-05-19 09:15:03,I022,M011,T010,Bid,25,38.77,Filled,1.0
OR00160,2026-05-20 11:11:18,I018,M008,T003,Bid,10,87.88,Partially Filled,0.23
OR00202,2026-05-20 13:47:41,I010,M005,T016,Offer,25,88.17,Cancelled,0.0
OR00158,2026-05-20 17:01:16,I024,M001,T007,Bid,50,35.53,Filled,1.0
OR00265,2026-05-21 09:06:23,I022,M011,T007,Offer,20,34.04,Filled,1.0
OR00225,2026-05-23 11:03:47,I020,M010,T013,Bid,10,75.95,Partially Filled,0.4
OR00207,2026-05-23 11:54:30,I001,M001,T007,Offer,10,36.74,Cancelled,0.0
OR00009,2026-05-23 15:05:05,I016,M007,T001,Bid,100,81.27,Filled,1.0
OR00002,2026-05-24 10:35:19,I004,M001,T012,Bid,100,26.51,Partially Filled,0.82
OR00253,2026-05-24 15:13:51,I004,M001,T017,Bid,10,34.14,Partially Filled,0.65
OR00166,2026-05-25 12:31:50,I015,M007,T014,Offer,5,108.52,Filled,1.0
OR00057,2026-05-26 13:35:58,I001,M001,T013,Offer,5,38.01,Filled,1.0
OR00017,2026-05-27 14:46:03,I011,M005,T001,Bid,100,90.82,Cancelled,0.0
OR00103,2026-05-27 16:00:22,I005,M002,T003,Bid,100,36.44,Filled,1.0
OR00261,2026-05-27 16:41:48,I005,M002,T017,Offer,100,35.74,Filled,1.0
OR00060,2026-05-28 11:54:50,I014,M006,T004,Bid,10,75.0,Filled,1.0
OR00029,2026-05-28 15:03:09,I010,M005,T002,Bid,200,96.19,Filled,1.0
OR00286,2026-05-29 07:42:12,I017,M008,T003,Offer,20,79.35,Cancelled,0.0
OR00215,2026-05-29 12:12:46,I009,M004,T009,Offer,25,40.79,Cancelled,0.0
OR00264,2026-05-29 17:45:37,I007,M003,T014,Offer,10,26.41,Open,0.0
OR00044,2026-05-30 09:33:51,I023,M012,T017,Bid,50,69.63,Filled,1.0
OR00287,2026-05-30 11:42:26,I004,M001,T002,Offer,25,38.27,Open,0.0
OR00063,2026-06-02 09:51:56,I012,M005,T013,Bid,50,106.47,Partially Filled,0.85
OR00123,2026-06-03 13:07:51,I011,M005,T013,Bid,50,69.61,Cancelled,0.0
OR00155,2026-06-03 14:46:51,I024,M001,T006,Bid,25,36.74,Filled,1.0
OR00093,2026-06-04 15:04:09,I012,M005,T011,Bid,100,100.56,Partially Filled,0.67
OR00165,2026-06-05 07:53:07,I023,M012,T010,Offer,10,75.36,Open,0.0
OR00146,2026-06-05 11:40:31,I022,M011,T016,Offer,20,33.38,Partially Filled,0.52
OR00128,2026-06-05 13:23:06,I001,M001,T013,Bid,50,40.87,Filled,1.0
OR00148,2026-06-05 15:20:06,I008,M003,T004,Offer,150,36.42,Open,0.0
OR00039,2026-06-06 09:44:40,I007,M003,T010,Offer,150,38.63,Partially Filled,0.59
OR00132,2026-06-06 14:31:51,I016,M007,T007,Offer,20,115.73,Filled,1.0
OR00119,2026-06-07 10:28:56,I020,M010,T020,Bid,10,89.93,Open,0.0
OR00180,2026-06-07 12:40:04,I011,M005,T001,Offer,25,111.23,Open,0.0
OR00114,2026-06-07 15:32:14,I018,M008,T005,Offer,50,128.97,Open,0.0
OR00274,2026-06-08 11:31:28,I011,M005,T003,Bid,50,86.43,Filled,1.0
OR00113,2026-06-08 15:07:47,I017,M008,T010,Offer,5,105.74,Open,0.0
OR00182,2026-06-08 15:39:42,I016,M007,T011,Offer,25,79.43,Partially Filled,0.82
OR00109,2026-06-09 07:34:37,I020,M010,T009,Bid,150,77.53,Open,0.0
OR00208,2026-06-09 09:42:33,I005,M002,T013,Bid,150,32.74,Partially Filled,0.44
OR00096,2026-06-09 10:57:17,I023,M012,T004,Bid,25,102.41,Cancelled,0.0
OR00045,2026-06-09 13:32:37,I012,M005,T003,Bid,25,114.62,Filled,1.0
OR00035,2026-06-10 07:02:08,I006,M002,T014,Bid,5,37.0,Filled,1.0
OR00196,2026-06-10 10:35:29,I020,M010,T002,Offer,150,94.49,Filled,1.0
OR00288,2026-06-10 12:55:36,I016,M007,T003,Bid,50,83.92,Cancelled,0.0
OR00037,2026-06-10 13:55:50,I024,M001,T005,Offer,10,28.21,Open,0.0
OR00133,2026-06-11 09:34:39,I017,M008,T018,Offer,20,112.37,Filled,1.0
OR00214,2026-06-11 12:54:54,I024,M001,T005,Bid,50,42.32,Filled,1.0
OR00112,2026-06-12 08:19:50,I006,M002,T014,Bid,20,37.86,Filled,1.0
OR00186,2026-06-13 09:14:26,I008,M003,T010,Offer,200,32.57,Filled,1.0
OR00026,2026-06-13 11:50:36,I010,M005,T018,Offer,100,80.06,Filled,1.0
OR00012,2026-06-13 12:15:57,I018,M008,T018,Offer,5,78.21,Partially Filled,0.4
OR00033,2026-06-14 16:28:08,I019,M009,T016,Offer,5,107.75,Filled,1.0
OR00100,2026-06-15 08:44:08,I019,M009,T019,Bid,25,90.08,Cancelled,0.0
OR00083,2026-06-17 10:33:59,I001,M001,T016,Bid,150,36.7,Open,0.0
OR00296,2026-06-18 12:26:59,I005,M002,T007,Bid,200,37.83,Filled,1.0
OR00031,2026-06-19 07:39:41,I001,M001,T019,Bid,25,35.07,Partially Filled,0.79
OR00095,2026-06-19 07:54:56,I016,M007,T010,Offer,5,107.78,Filled,1.0
OR00285,2026-06-20 09:10:23,I002,M001,T007,Offer,100,31.8,Cancelled,0.0
OR00099,2026-06-20 13:49:19,I005,M002,T005,Offer,5,30.79,Partially Filled,0.33
OR00025,2026-06-20 14:05:39,I005,M002,T018,Bid,200,40.46,Partially Filled,0.33
OR00201,2026-06-21 12:20:37,I015,M007,T017,Bid,50,100.3,Cancelled,0.0
OR00136,2026-06-22 11:18:52,I001,M001,T003,Offer,100,35.5,Filled,1.0
OR00021,2026-06-22 12:19:53,I014,M006,T003,Bid,20,104.82,Filled,1.0
OR00212,2026-06-25 09:23:43,I006,M002,T002,Offer,5,38.95,Filled,1.0
OR00292,2026-06-25 17:33:23,I012,M005,T018,Bid,50,116.31,Open,0.0
OR00238,2026-06-26 09:46:35,I007,M003,T014,Bid,5,34.33,Open,0.0
OR00195,2026-06-26 10:46:43,I017,M008,T011,Offer,10,100.25,Open,0.0
OR00173,2026-06-26 16:17:12,I012,M005,T006,Bid,150,138.27,Filled,1.0
OR00179,2026-06-27 08:39:09,I008,M003,T018,Bid,5,41.5,Open,0.0
OR00062,2026-06-27 09:18:00,I012,M005,T007,Bid,10,99.91,Filled,1.0
OR00194,2026-06-27 12:59:01,I015,M007,T006,Offer,50,84.24,Filled,1.0
OR00226,2026-06-27 13:52:09,I010,M005,T020,Offer,150,125.82,Cancelled,0.0
OR00237,2026-06-28 15:16:42,I019,M009,T001,Offer,100,121.36,Filled,1.0
OR00234,2026-06-29 12:48:35,I001,M001,T020,Bid,150,31.78,Partially Filled,0.36
OR00111,2026-06-30 12:42:49,I010,M005,T018,Offer,150,97.09,Filled,1.0
OR00010,2026-06-30 14:54:17,I004,M001,T019,Bid,50,36.1,Filled,1.0
OR00097,2026-07-01 07:53:10,I006,M002,T011,Offer,150,36.33,Partially Filled,0.63
OR00038,2026-07-01 17:56:18,I019,M009,T016,Offer,10,77.31,Partially Filled,0.7
OR00036,2026-07-03 16:07:13,I004,M001,T016,Bid,200,33.36,Partially Filled,0.25
OR00295,2026-07-04 10:39:38,I002,M001,T020,Bid,5,41.29,Partially Filled,0.32
OR00258,2026-07-04 17:32:05,I010,M005,T002,Bid,200,118.79,Cancelled,0.0
OR00217,2026-07-05 17:47:40,I002,M001,T001,Bid,10,41.33,Open,0.0
OR00227,2026-07-06 12:00:38,I008,M003,T004,Offer,150,39.05,Cancelled,0.0
OR00098,2026-07-06 15:25:54,I013,M006,T010,Offer,200,121.2,Filled,1.0
OR00139,2026-07-06 16:25:19,I009,M004,T014,Bid,10,44.24,Cancelled,0.0
OR00230,2026-07-07 07:56:52,I007,M003,T009,Bid,5,32.24,Filled,1.0
OR00184,2026-07-07 09:43:35,I003,M001,T017,Offer,100,34.81,Filled,1.0
OR00051,2026-07-07 17:34:26,I021,M010,T008,Offer,10,74.81,Cancelled,0.0
OR00149,2026-07-09 07:30:25,I014,M006,T009,Offer,10,98.95,Filled,1.0
OR00043,2026-07-09 07:52:21,I018,M008,T016,Bid,50,76.69,Filled,1.0
OR00069,2026-07-09 13:02:59,I004,M001,T009,Offer,50,34.46,Open,0.0
OR00081,2026-07-09 15:09:39,I004,M001,T015,Offer,100,36.25,Cancelled,0.0
OR00028,2026-07-10 11:47:32,I009,M004,T008,Bid,25,32.23,Cancelled,0.0
OR00053,2026-07-10 14:07:20,I002,M001,T003,Offer,25,34.9,Filled,1.0
OR00277,2026-07-10 14:32:15,I017,M008,T011,Bid,50,101.93,Filled,1.0
OR00240,2026-07-10 16:35:30,I022,M011,T015,Offer,5,32.55,Filled,1.0
OR00193,2026-07-11 13:15:13,I022,M011,T002,Offer,20,34.7,Partially Filled,0.84
OR00213,2026-07-11 15:07:05,I010,M005,T012,Offer,25,92.6,Partially Filled,0.26
OR00034,2026-07-14 07:26:41,I005,M002,T016,Offer,100,37.33,Filled,1.0
OR00199,2026-07-14 15:25:31,I019,M009,T007,Bid,50,83.62,Partially Filled,0.59
OR00121,2026-07-15 11:30:05,I013,M006,T007,Bid,20,75.71,Cancelled,0.0
OR00248,2026-07-16 14:12:18,I020,M010,T019,Bid,100,70.62,Filled,1.0
OR00143,2026-07-17 09:53:03,I021,M010,T004,Offer,10,95.37,Open,0.0
OR00040,2026-07-18 08:36:58,I008,M003,T002,Bid,25,34.05,Open,0.0
OR00198,2026-07-18 10:20:49,I017,M008,T010,Offer,150,89.27,Filled,1.0
OR00289,2026-07-18 15:00:49,I015,M007,T004,Bid,25,122.16,Cancelled,0.0
OR00284,2026-07-19 08:17:38,I012,M005,T002,Offer,100,101.89,Cancelled,0.0
OR00052,2026-07-19 11:44:34,I001,M001,T001,Bid,50,29.48,Partially Filled,0.21
OR00135,2026-07-19 15:28:44,I003,M001,T012,Offer,150,37.21,Filled,1.0
OR00001,2026-07-20 07:48:34,I013,M006,T006,Offer,20,80.49,Open,0.0
OR00022,2026-07-20 13:24:56,I008,M003,T004,Bid,50,32.0,Filled,1.0
OR00102,2026-07-21 08:39:40,I009,M004,T005,Bid,5,33.91,Cancelled,0.0
OR00231,2026-07-21 13:49:21,I007,M003,T012,Offer,5,39.34,Cancelled,0.0
OR00279,2026-07-23 12:05:21,I015,M007,T015,Bid,10,80.27,Filled,1.0
OR00223,2026-07-24 09:27:19,I012,M005,T017,Bid,10,86.04,Open,0.0
OR00256,2026-07-24 12:39:27,I023,M012,T017,Offer,150,83.93,Filled,1.0
